id,name,display_name,description,category,is_system_permission,created_at,updated_at,operation
94e088d7-32ac-4c88-b172-29ae3165f35d,view_own_data,"View Own Data","View own data (room, complaints, visitors)",profile,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
976b8cf6-91b6-4ef3-aba4-7697570e1c6f,manage_all_hostels,"Manage All Hostels","Manage all hostels in system",system,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
9c6f97e2-fd48-488a-b2f2-da3114f9a5d8,manage_system,"Manage System","System-wide management",system,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
9ded7773-8dbe-4e11-ac20-3f82279151ff,visitor_read,"View Visitors","View visitor details",visitors,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
c33106f8-c906-48bf-ae91-dbb6f93957be,staff_assign,"Assign Staff","Assign staff members to roles and hostels",staff,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
c5bdcc6c-7a3e-4a78-b7fd-0cb84201c783,staff_update,"Update Staff","Update staff information",staff,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
c97381e0-26d0-4302-bb2d-2d68ea2a2d66,export_visitor_data,"Export Visitor Data","Export visitor logs",visitors,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
cb774d08-e777-4e48-b903-126eacdda851,export_data,"Export Data","Export data in various formats",reports,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
d20171e3-ac79-4870-9742-36c6dc761f6c,view_system_stats,"View System Stats","View system-wide statistics",system,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
d719a0e9-30a1-4f1b-884f-4ea8136ab1f5,manage_student_rooms,"Manage Student Rooms","Assign/change student rooms",students,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
db1d2414-1061-4f3a-be82-82e13fd388f6,hostel_read,"View Hostel","View hostel information and settings",hostel,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
e0f82af5-125a-4f7a-b4dc-ca822f95ba62,complaint_update,"Handle Complaints","Resolve, update complaint status",complaints,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
e5c0fb8d-2b55-4f2f-a12e-9759372e1302,staff_create,"Create Staff","Create new staff members",staff,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
eb9f5253-a94c-4348-82e2-2b37d1bcd941,change_password,"Change Password","Change own password",profile,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
ecbadc19-e7ec-4cbb-89ff-a4d3fcfaa73f,view_analytics,"View Analytics","View analytics dashboards",reports,1,"2025-09-13 15:53:00","2025-09-13 15:53:00",NULL
ed7a6d42-12d7-4070-b0c8-f97a6469c831,room_allocation_read,"View Room Allocations","View room allocation details",rooms,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
ed7b592a-80fc-4d7b-bf8f-a3812a184f93,staff_read,"View Staff","View staff details and lists",staff,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
f228604d-8a72-4121-830e-256925097780,view_complaint_stats,"View Complaint Stats","View complaint analytics",complaints,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
f92c0dc3-9ef0-43b4-bb9e-8181198e719c,room_update,"Manage Rooms","Create, update, and delete rooms",rooms,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
fb51fcd5-3fcb-4640-8096-d9fdd13efdd9,student_update,"Manage Students","Create, update, and delete student records",students,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
fd05b198-a178-49ea-92eb-402d097cee76,view_student_rooms,"View Student Rooms","View student room assignments",students,1,"2025-09-13 15:52:59","2025-09-13 15:52:59",NULL
